KJ;20525
KJ1;5057
HK;3804
MM;3411
KJ2;2623
AU;2608
HV;1619
K;1230
SN;1073
AS;894
AV;773
K1;736
AH;695
EJ;640
PH;571
EN;491
ST;417
K2;411
VL;405
HN;324
AK;286
?;258
KJ3;257
TO;234
EK;224
ÜP;217
TS;179
ER;151
HL;147
L;123
K3;119
PK;108
;93
VO;69
LR;69
M;66
SR;64
JP;63
MG;61
VK;58
VP;51
KS;51
TÕ;50
PA;48
JO;47
EE;42
KK;37
KJ4;29
EM;29
VR;25
TK;22
mees;21
KJ?;21
JO2;19
JS;19
Laps;16
N;14
JO1;13
LH;11
naine;10
JO3;6
P;6
MN;5
tütar;4
T;4
LT;3
B;3
AU?;3
V;3
ST?;2
MÄ;1
KJ1?;1
MV;1
MH;1
EJ?;1
naishääl;1
KA;1
AS?;1
JT;1
keegi;1
AP;1
