cat;EASTERN;MID;NORTHEASTERN;WESTERN;MULGI;COASTAL;INSULAR;SETO;TARTU;VORU;domain;construction
syn_abl;23;31;32;34;44;55;36;19;16;24;nominal;separative
syn_ad;668;813;836;631;937;715;646;608;716;707;nominal;locative
syn_all;385;233;348;219;213;266;190;397;412;323;nominal;lative
syn_el;410;300;350;323;363;451;319;265;289;242;nominal;separative
syn_ill;378;303;361;348;242;449;309;431;348;333;nominal;lative
syn_in;405;449;526;447;312;533;392;330;323;328;nominal;locative
ana_peal;81;90;45;80;67;49;59;58;71;84;nominal;locative
ana_peale;94;80;68;85;79;94;67;129;86;100;nominal;lative
ana_pealt;27;29;15;16;21;17;15;22;22;22;nominal;separative
ana_sees;28;28;27;33;16;13;38;13;28;22;nominal;locative
ana_seest;5;3;2;4;3;5;10;6;6;6;nominal;separative
ana_sisse;10;25;17;22;14;14;48;45;41;34;nominal;lative
syn_quot;143;90;33;118;267;74;79;19;59;127;verbal;quotative
ana_quot;164;215;17;303;312;144;165;14;265;30;verbal;quotative
ana_neg;261;248;225;209;340;236;157;312;236;334;verbal;negation
syn_neg;58;131;10;150;2;8;358;2;1;2;verbal;negation
syn_pass;564;524;620;664;1101;787;800;875;851;1127;verbal;passive
ana_pass;122;217;146;340;156;246;192;95;114;102;verbal;passive
